school,Private,Accept.pct,Elite10,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
Abilene Christian University,Yes,0.742168675,0,2885,537,7440,3300,450,2200,70,78,18.1,12,7041,60
Adelphi University,Yes,0.880146386,0,2683,1227,12280,6450,750,1500,29,30,12.2,16,10527,56
Adrian College,Yes,0.768207283,0,1036,99,11250,3750,400,1165,53,66,12.9,30,8735,54
Agnes Scott College,Yes,0.836930456,1,510,63,12960,5450,450,875,92,97,7.7,37,19016,59
Alaska Pacific University,Yes,0.756476684,0,249,869,7560,4120,800,1500,76,72,11.9,2,10922,15
Albertson College,Yes,0.816013629,0,678,41,13500,3335,500,675,67,73,9.4,11,9727,55
Albertus Magnus College,Yes,0.963172805,0,416,230,13290,5720,500,1500,90,93,11.5,26,8861,63
Albion College,Yes,0.905739863,0,1594,32,13868,4826,450,850,89,100,13.7,37,11487,73
Albright College,Yes,0.808285164,0,973,306,15595,4400,300,500,79,84,11.3,23,11644,80
Alderson-Broaddus College,Yes,0.855670103,0,799,78,10468,3380,660,1800,40,41,11.5,15,8991,52
Alfred University,Yes,0.822748268,0,1830,110,16548,5406,500,600,82,88,11.3,31,10932,73
Allegheny College,Yes,0.716440422,0,1707,44,17080,4440,400,600,73,91,9.9,41,11711,76
Allentown Coll. of St. Francis de Sales,Yes,0.661577608,0,1130,638,9690,4785,600,1000,60,84,13.3,21,7940,74
Alma College,Yes,0.852407261,0,1306,28,12572,4552,400,400,79,87,15.3,32,9305,68
Alverno College,Yes,0.633603239,0,1317,1235,8352,3640,650,2449,36,69,11.1,26,8127,55
American International College,Yes,0.76971831,0,1018,287,8700,4780,450,1400,78,84,14.7,19,7355,69
Amherst College,Yes,0.230590423,1,1593,5,19760,5300,660,1598,93,98,8.4,63,21424,100
Anderson University,Yes,0.746710526,0,1819,281,10100,3520,550,1100,48,61,12.1,14,7994,59
Andrews University,Yes,0.62300885,0,1586,326,9996,3090,900,1320,62,66,11.5,18,10908,46
Angelo State University,No,0.565254237,0,4190,1512,5130,3592,500,2000,60,62,23.1,5,4010,34
Antioch University,Yes,0.927068724,0,712,23,15476,3336,400,1100,69,82,11.3,35,42926,48
Appalachian State University,No,0.637768358,0,9940,1035,6806,2540,96,2000,83,96,18.3,14,5854,70
Aquinas College,Yes,0.833602585,0,1251,767,11208,4124,350,1615,55,65,12.7,25,6584,65
Arizona State University Main campus,No,0.804746663,0,22593,7585,7434,4850,700,2100,88,93,18.9,5,4602,48
Arkansas College (Lyon College),Yes,0.471751412,0,530,182,8644,3922,500,800,79,88,12.6,24,14579,54
Arkansas Tech University,No,0.997116494,0,3602,939,3460,2650,450,1000,57,60,19.6,5,4739,48
Assumption College,Yes,0.796252927,0,1708,689,12000,5920,500,500,93,93,13.8,30,7100,88
Auburn University-Main Campus,No,0.899708532,0,16262,1716,6300,3933,600,1908,85,91,16.7,18,6642,69
Augsburg College,Yes,0.774924471,0,2074,726,11902,4372,540,950,65,65,12.8,31,7836,58
Augustana College IL,Yes,0.882384247,0,1950,38,13353,4173,540,821,78,83,12.7,40,9220,71
Augustana College,Yes,0.952693824,0,1337,300,10990,3244,600,1021,66,70,10.4,30,6871,69
Austin College,Yes,0.841772152,0,1120,15,11280,4342,400,1150,81,95,13,33,11361,71
Averett College,Yes,0.88676236,0,777,538,9925,4135,750,1350,59,67,22.4,11,6523,48
Baker University,Yes,0.802325581,0,958,466,8620,4100,400,2250,58,68,11,21,6136,65
Baldwin-Wallace College,Yes,0.808284024,0,2718,1460,10995,4410,1000,1000,68,74,17.6,20,8086,85
Barat College,Yes,0.735632184,0,453,266,9690,4300,500,500,57,77,9.7,35,9337,71
Bard College,Yes,0.438743455,0,1004,15,19264,6206,750,750,98,98,10.4,30,13894,79
Barnard College,Yes,0.561698718,1,2121,69,17926,8124,600,850,83,93,10.3,33,12580,91
Barry University,Yes,0.791919192,0,1811,3144,11290,5360,600,1800,76,78,12.6,11,9084,72
Baylor University,Yes,0.880493827,0,9919,484,6450,3920,600,1346,71,76,18.5,38,7503,72
Beaver College,Yes,0.730868444,0,878,519,12850,5400,400,800,78,89,12.2,30,8954,73
Bellarmine College,Yes,0.876084263,0,1198,605,8840,2950,750,1290,74,82,13.1,31,6668,84
Belmont Abbey College,Yes,0.78164557,0,709,131,9000,4850,300,2480,78,85,13.2,10,7550,52
Belmont University,Yes,0.798360656,0,1964,623,7800,3664,650,900,61,61,11.1,19,7614,49
Beloit College,Yes,0.699242424,0,1085,81,16304,3616,355,715,87,95,11.1,26,12957,69
Bemidji State University,No,0.725993377,0,3796,824,4425,2700,660,1800,57,62,19.6,16,3752,46
Benedictine College,Yes,0.981012658,0,702,501,9550,3850,350,250,64,84,14.1,18,5922,58
Bennington College,Yes,0.630057803,0,457,2,21700,4100,600,500,35,59,10.1,33,16364,55
Bentley College,Yes,0.672244662,0,3095,1533,13800,5510,630,850,87,87,17.5,20,10941,82
Berry College,Yes,0.657158235,0,1620,49,8050,3940,350,2375,80,80,16.3,17,10511,63
Bethany College,Yes,0.929384966,0,706,62,8740,3363,550,1700,62,68,11.6,29,7718,48
Bethel College KS,Yes,0.910891089,0,537,101,8540,3580,500,1400,61,80,8.8,32,8324,56
Bethel College,Yes,0.764940239,0,347,74,6200,2900,600,800,63,63,11.7,13,7623,35
Bethune Cookman College,Yes,0.698663426,0,2128,82,5188,3396,650,2500,48,48,13.8,9,6817,58
Birmingham-Southern College,Yes,0.730434783,1,1376,207,11660,4325,400,900,74,79,14,34,8649,72
Blackburn College,Yes,0.672,0,421,27,6500,2700,500,1000,76,76,14.3,53,8377,51
Bloomsburg Univ. of Pennsylvania,No,0.447069246,0,5847,946,7844,2948,500,1680,66,68,18,19,7041,75
Bluefield College,Yes,0.949602122,0,653,129,7150,4350,450,1500,61,67,17.8,3,6259,53
Bluffton College,Yes,0.742774566,0,760,81,9900,3990,400,900,76,71,13.3,19,9073,58
Boston University,Yes,0.644166006,0,14971,3113,18420,6810,475,1025,80,81,11.9,16,16836,72
Bowdoin College,Yes,0.30363528,1,1490,8,19030,5885,1495,875,93,96,11.2,52,20447,96
Bowling Green State University,No,0.792671063,0,13699,1213,7452,3352,600,1700,81,89,21.1,14,6918,67
Bradford College,Yes,0.744920993,0,453,42,14080,6270,500,900,57,80,10.2,21,15387,46
Bradley University,Yes,0.906291479,0,4531,643,10870,4440,2000,1522,75,81,14.4,21,7671,85
Brandeis University,Yes,0.655279503,0,2819,62,19380,6750,410,1000,90,97,9.8,24,17150,84
Brenau University,Yes,0.746594005,0,917,479,9592,5879,500,700,71,80,13.7,12,5935,49
Brewton-Parker College,Yes,0.855153203,0,1320,822,4371,2370,500,2000,62,62,12.6,10,4900,18
Briar Cliff College,Yes,0.895408163,0,738,430,10260,3597,600,1500,39,66,13.1,26,8355,58
Bridgewater College,Yes,0.803102625,0,881,55,10265,4725,560,875,68,73,13.2,24,8655,82
Brigham Young University at Provo,Yes,0.733469111,0,27378,1253,2340,3580,860,1220,76,76,20.5,40,7916,33
Brown University,Yes,0.257349436,1,5643,349,19528,5926,720,1100,99,100,7.6,39,20440,97
Bryn Mawr College,Yes,0.552901024,1,1088,16,18165,6750,500,1200,100,100,12.3,49,17449,89
Bucknell University,Yes,0.582315211,0,3316,31,18550,4750,800,1200,95,97,14.2,36,13675,93
Buena Vista College,Yes,0.8,0,1928,442,13306,3797,450,950,62,69,8.8,10,6333,78
Butler University,Yes,0.862404742,0,2607,148,13130,4650,500,1600,77,81,10.9,29,9511,83
Cabrini College,Yes,0.824707846,0,1035,446,10518,6250,300,300,59,76,16.5,36,7117,71
Caldwell College,Yes,0.597428289,0,693,868,8900,4600,425,1000,87,96,13.9,25,7922,55
California Lutheran University,Yes,0.438721137,0,1427,432,12950,5300,612,576,72,74,12.4,17,8985,60
California Polytechnic-San Luis,No,0.488669825,0,12911,1404,7380,4877,612,2091,72,81,19.8,13,8453,59
California State University at Fresno,No,0.725550661,0,13494,1254,7706,4368,600,1926,90,90,21.2,8,7268,61
Calvin College,Yes,0.847533632,0,3401,136,10230,3710,400,1210,75,81,14.8,41,7786,81
Campbell University,Yes,0.6415908,0,3191,1204,7550,2790,600,500,77,77,21.8,34,3739,63
Campbellsville College,Yes,0.692216981,0,935,184,6060,3070,600,1300,62,66,17.7,13,5391,49
Canisius College,Yes,0.768664564,0,2978,434,10750,5340,400,1130,90,92,14.6,26,7972,64
Capital University,Yes,0.791070406,0,1662,960,13050,4000,500,800,64,69,12.1,27,9557,83
Capitol College,Yes,0.9,0,282,331,8400,2812,300,2134,10,50,12.1,24,7976,52
Carleton College,Yes,0.586117298,1,1870,12,19292,3957,550,550,81,93,10.4,60,17960,91
Carnegie Mellon University,Yes,0.595898258,1,4265,291,17900,5690,450,1250,86,93,9.2,31,24386,74
Carroll College,Yes,0.854310345,0,1357,737,12200,3880,480,930,74,81,17.8,25,7666,79
Carson-Newman College,Yes,0.86770073,0,1776,239,8150,3150,400,500,61,62,13.6,16,6716,67
Carthage College,Yes,0.883044554,0,1405,580,13125,3775,500,1300,74,89,15.9,22,7364,62
Case Western Reserve University,Yes,0.814031468,1,3051,513,15700,4730,525,1460,95,95,2.9,29,19733,67
Castleton State College,No,0.747812251,0,1547,294,7656,4690,400,700,89,91,14.7,8,6318,79
Catawba College,Yes,0.81255771,0,915,80,9270,4100,600,1860,75,82,13.5,27,8425,55
Catholic University of America,Yes,0.835233751,0,2159,211,13712,6408,526,1100,90,96,9.3,18,12751,75
Cazenovia College,Yes,0.892383676,0,1010,12,9384,4840,600,500,22,47,14.3,20,7697,118
Cedar Crest College,Yes,0.782216495,0,791,764,14340,5285,500,1000,58,83,11.7,39,10961,74
Cedarville College,Yes,0.833970926,0,2196,82,7344,4410,570,1000,50,52,15.3,34,6897,64
Centenary College,Yes,0.845528455,0,396,526,11400,5400,500,760,41,85,9.5,20,9583,24
Centenary College of Louisiana,Yes,0.876767677,0,775,44,8950,3490,600,1900,86,92,11.3,25,9685,66
Center for Creative Studies,Yes,0.65890183,0,525,323,11230,6643,2340,620,8,58,6.8,4,13025,47
Central College,Yes,0.867498051,0,1355,40,10938,3660,650,600,76,90,13.5,29,8444,67
Central Connecticut State University,No,0.608946609,0,6394,3881,5962,4444,500,985,69,73,16.7,4,4900,49
Central Missouri State University,No,0.876094852,0,8094,1596,4620,3288,300,2250,69,80,19.7,4,5501,50
Central Washington University,No,0.722082585,0,6507,898,7242,3603,654,1416,67,89,18.1,0,6413,51
Central Wesleyan College,Yes,0.83908046,0,1047,33,8300,3080,600,600,62,62,15.2,18,3365,58
Centre College,Yes,0.876604146,1,943,7,11850,4270,600,900,95,99,11.4,60,13118,74
Chapman University,Yes,0.803962461,0,1662,209,16624,5895,600,1100,72,80,12.8,6,12692,47
Chatham College,Yes,0.929245283,0,471,148,13500,5230,400,850,95,98,9.3,37,16095,52
Chestnut Hill College,Yes,0.742690058,0,518,232,10335,5015,700,850,71,71,8.3,29,7729,73
Christendom College,Yes,0.888888889,0,139,3,8730,3600,400,800,92,92,9.3,17,10922,58
Christian Brothers University,Yes,0.590909091,0,1068,364,9300,3260,600,900,81,81,11.1,24,8129,63
Christopher Newport University,No,0.867497169,0,2910,1749,7860,4750,525,1889,80,82,21.2,16,4639,48
Claflin College,Yes,0.58277592,0,959,13,4412,2460,500,1000,69,69,16.9,31,7083,21
Claremont McKenna College,Yes,0.412365591,1,887,1,17000,6010,500,850,99,99,9.6,52,18443,87
Clark University,Yes,0.71319709,0,1928,296,17500,4200,500,950,94,95,10.5,35,11951,79
Clarke College,Yes,0.739130435,0,604,350,10740,3676,350,900,67,71,11,27,7963,74
Clarkson University,Yes,0.898344066,0,2332,53,15960,5580,700,1300,95,95,15.8,32,11659,77
Clemson University,No,0.65182889,0,11755,770,8116,3610,800,1618,82,88,18,17,7597,73
Clinch Valley Coll. of  the Univ. of Virginia,No,0.814223512,0,1125,422,7168,3689,600,1900,67,67,18.1,9,4417,46
Coe College,Yes,0.737574553,0,1127,205,13925,4390,500,2200,73,86,12.7,32,10141,67
Coker College,Yes,0.748344371,0,690,222,9888,4502,400,1000,64,77,12.1,39,8741,75
Colby College,Yes,0.463132022,1,1720,35,18930,5590,500,1000,83,94,10.2,41,15954,91
Colgate University,Yes,0.513179572,0,2649,25,19510,5565,500,750,95,98,10.5,45,15494,93
College Misericordia,Yes,0.620111732,0,1121,493,10860,5760,550,900,56,62,12.9,23,8604,96
College of Charleston,No,0.658005029,0,6851,1200,6120,3460,666,2316,73,78,17.2,18,4776,51
College of Mount St. Joseph,Yes,0.776942356,0,1165,1232,9800,4430,400,1150,46,46,11.1,35,6889,100
College of Mount St. Vincent,Yes,0.684989429,0,707,432,11790,5770,500,1000,75,77,11.9,35,10015,83
College of Notre Dame,Yes,0.76744186,0,500,331,12600,5520,630,2250,77,80,10.4,7,9773,43
College of Notre Dame of Maryland,Yes,0.778993435,0,667,1983,11180,5620,600,700,64,64,11.5,32,7477,75
College of Saint Benedict,Yes,0.921108742,0,1715,103,12247,4221,500,600,70,88,13.1,26,8847,72
College of Saint Catherine,Yes,0.804305284,0,1692,562,12224,4440,450,1000,63,87,11.5,32,7315,77
College of Saint Elizabeth,Yes,0.808558559,0,493,968,10900,5250,380,1000,68,70,11.4,23,9447,78
College of Saint Rose,Yes,0.675483215,0,1698,894,9990,5666,800,1500,66,71,14.3,28,6084,64
College of Santa Fe,Yes,0.818681319,0,873,683,11138,4138,600,1200,40,74,14,7,8820,80
College of St. Joseph,Yes,0.836879433,0,201,173,8300,4850,450,1300,53,53,9.5,19,6936,76
College of St. Scholastica,Yes,0.886904762,0,1350,275,11844,3696,450,1146,54,76,11.6,33,8996,72
College of the Holy Cross,Yes,0.564796259,1,2675,22,18000,6300,400,900,92,96,11.3,55,12138,95
College of William and Mary,No,0.43641984,1,5186,134,11720,4298,600,800,89,92,12.1,31,9534,93
College of Wooster,Yes,0.896666667,0,1704,1,16240,4690,500,500,84,96,11.1,43,14140,69
Colorado College,Yes,0.491736826,1,1892,7,17142,4190,450,1200,85,97,11.3,51,14664,84
Colorado State University,No,0.665963283,0,15646,1829,8412,4180,470,1800,87,89,19.2,10,7850,59
Columbia College MO,Yes,0.503184713,0,690,5346,8294,3700,400,900,87,87,15.3,2,5015,37
Columbia College,Yes,0.833107191,0,968,237,10425,3975,500,1500,61,77,14.7,34,8693,76
Columbia University,Yes,0.285671995,1,3376,55,18624,6664,550,300,97,98,5.9,21,30639,99
Concordia College at St. Paul,Yes,0.946619217,0,1049,181,10500,3750,450,950,69,75,12.8,18,6955,45
Concordia Lutheran College,Yes,0.931034483,0,534,172,6900,3800,450,1825,67,76,12.1,9,6875,42
Concordia University CA,Yes,0.722383721,0,641,101,10800,4440,570,1515,55,60,13.1,13,8415,55
Concordia University,Yes,0.763257576,0,1168,145,9216,4191,400,1000,56,64,12.1,13,7309,75
Connecticut College,Yes,0.509390445,0,1630,232,18740,6300,600,500,86,95,10.7,40,14773,91
Converse College,Yes,0.925,0,643,80,12050,3700,500,900,63,76,10.2,31,10965,75
Cornell College,Yes,0.864109233,0,1140,10,15248,4323,550,800,71,76,12.2,31,10340,64
Creighton University,Yes,0.955847658,0,3450,644,10628,4372,650,2055,85,90,6.5,32,22906,85
Culver-Stockton College,Yes,0.704314721,0,992,112,8000,3700,400,500,51,52,14.1,28,5807,51
Cumberland College,Yes,0.792964824,0,1306,122,6230,3526,400,600,42,44,13,4,8189,63
D'Youville College,Yes,0.7147806,0,1074,336,8920,4310,680,1320,68,68,14.6,42,6898,46
Dana College,Yes,0.956349206,0,550,84,9130,3322,450,1450,46,51,12.6,25,8686,54
Daniel Webster College,Yes,0.868376068,0,460,536,12292,4934,500,500,61,61,22.2,10,8643,72
Dartmouth College,Yes,0.264702457,1,3918,32,19545,6070,550,1100,95,99,4.7,49,29619,98
Davidson College,Yes,0.402865571,1,1601,6,17295,5070,600,1011,95,97,12,46,17581,94
Defiance College,Yes,0.807355517,0,645,283,10850,3670,400,1159,58,60,12.8,19,7505,56
Delta State University,No,0.977249224,0,2806,538,4528,1880,500,1200,49,63,17.1,16,5113,58
Denison University,Yes,0.82512672,0,1835,14,16900,4720,500,600,88,97,11.6,45,12423,81
DePauw University,Yes,0.830491474,0,1983,36,14300,5020,550,950,78,94,11.1,31,11525,82
Dickinson College,Yes,0.842402123,0,1889,62,18700,5000,595,1250,87,94,11.2,39,13861,87
Dickinson State University,No,0.949308756,0,1376,237,4486,2146,600,2000,50,64,16.5,28,4525,46
Dillard University,Yes,0.688688689,0,1539,45,6700,3650,500,2307,52,52,14.1,12,7566,61
Doane College,Yes,0.89407314,0,1022,411,9570,3000,400,1000,67,72,15.1,42,6852,60
Dominican College of Blauvelt,Yes,0.913888889,0,756,863,8310,5500,600,1800,43,43,12.7,5,5480,54
Dordt College,Yes,0.930463576,0,1048,56,9800,2650,450,2800,61,60,12.5,17,7325,87
Dowling College,Yes,0.819980218,0,1059,2458,9000,3100,450,1413,77,78,12.4,7,11178,42
Drake University,Yes,0.919256877,0,3322,726,13420,4770,560,1675,88,93,15,24,9473,77
Drew University,Yes,0.733859731,1,1192,87,18432,5616,520,660,93,97,10.2,28,14907,83
Drury College,Yes,0.928571429,0,1065,48,8730,3523,500,750,82,92,13.2,35,9303,67
Duke University,Yes,0.282326492,1,6188,53,18590,5950,625,1162,95,96,5,44,27206,97
Earlham College,Yes,0.740795287,0,1028,13,15036,4056,600,600,90,94,10.6,46,14634,78
East Carolina University,No,0.686003882,0,13171,1687,7248,3240,500,1700,74,78,13.2,18,9002,58
East Tennessee State University,No,0.81981982,0,6706,2640,5800,3000,600,2200,73,75,14,9,9825,42
East Texas Baptist University,Yes,0.899736148,0,1050,151,4950,2780,530,1500,62,62,15.7,7,5619,38
Eastern College,Yes,0.805676856,0,1057,355,11190,4800,450,1230,60,60,13.6,22,8135,54
Eastern Connecticut State University,No,0.687384899,0,2766,1531,5962,4316,650,500,71,76,16.9,14,5719,50
Eastern Illinois University,No,0.75987136,0,9161,845,5710,3066,120,1730,62,71,16.2,5,5682,76
Eastern Mennonite College,Yes,0.905349794,0,903,59,9650,3800,600,1300,46,65,11.4,29,10188,82
Eastern Nazarene College,Yes,0.792635659,0,1238,30,8770,3500,450,700,58,58,17.3,17,6430,70
Eckerd College,Yes,0.779887482,0,1363,23,15360,4080,600,1000,82,89,12.8,26,15003,59
Elizabethtown College,Yes,0.762515515,0,1476,299,14190,4400,500,750,65,68,12.8,25,9815,81
Elmira College,Yes,0.717227179,0,1109,502,14990,4980,450,550,77,98,21.5,21,7502,64
Elms College,Yes,0.848979592,0,544,436,11800,4765,450,1700,71,71,11.3,21,8952,86
Elon College,Yes,0.768763797,0,2933,334,9100,3883,490,1777,70,74,18.9,34,6329,63
Embry Riddle Aeronautical University,Yes,0.820057125,0,4772,856,7800,3750,570,3020,37,43,16.5,4,12878,44
Emory & Henry College,Yes,0.844444444,0,809,32,8578,4408,700,1600,79,88,13.9,51,8061,82
Emory University,Yes,0.490007054,1,5544,192,17600,6000,600,870,97,98,5,28,28457,96
Emporia State University,No,1,0,3957,588,5401,3144,450,1888,72,75,19.3,4,5527,50
Erskine College,Yes,0.84522003,0,532,35,10485,3840,475,1246,76,80,13.5,47,7527,67
Eureka College,Yes,0.810714286,0,484,16,10955,3450,330,670,62,87,10.6,31,9552,53
Evergreen State College,No,0.611327041,0,3065,363,6297,4600,600,1323,75,78,18.1,14,8355,68
Fairfield University,Yes,0.699414716,0,2984,1037,15000,6200,700,1100,86,90,15.1,30,11220,94
Fayetteville State University,No,0.731271478,0,2632,617,6806,2550,350,766,75,75,15.1,10,6972,24
Ferrum College,Yes,0.82673637,0,1051,82,9400,4200,500,1600,53,58,12.5,9,7967,22
Flagler College,Yes,0.50459364,0,1345,44,5120,3200,500,2140,52,60,18.1,9,3930,69
Florida Institute of Technology,Yes,0.811504879,0,1863,233,13900,4140,750,1500,90,90,10.6,7,8923,57
Florida International University,No,0.628856624,0,10208,9310,6597,2494,800,3028,81,96,13.9,20,6722,66
Florida Southern College,Yes,0.75307748,0,1506,970,8025,4865,400,650,65,74,17.4,10,6339,68
Florida State University,No,0.745257918,0,18906,3242,6680,4060,600,1020,80,89,23.1,15,7250,58
Fontbonne College,Yes,0.841924399,0,981,337,8390,4100,350,1500,45,55,21.5,24,4607,62
Fordham University,Yes,0.684285714,0,4740,1646,14235,6965,600,1735,86,97,14.4,14,10864,80
Fort Lewis College,No,0.820639535,0,3793,486,6198,3320,500,2500,89,97,19.1,6,4362,46
Francis Marion University,No,0.918933926,0,3224,436,5840,3138,400,2430,76,76,19.1,8,5039,43
Franciscan University of Steubenville,Yes,0.817359855,0,1301,242,9650,4400,600,1000,57,69,14.9,8,6336,83
Franklin College,Yes,0.786069652,0,840,68,10390,4040,525,1345,54,78,12.5,37,11751,60
Franklin Pierce College,Yes,0.861962599,0,1818,1197,13320,4630,500,800,50,56,17.6,16,6418,51
Freed-Hardeman University,Yes,0.612290503,0,1174,50,5500,3340,600,1600,68,76,16.1,13,6078,62
Fresno Pacific College,Yes,0.791907514,1,704,63,9900,3670,630,1818,59,59,10.5,14,8095,54
Furman University,Yes,0.902822767,1,2371,175,13440,4048,600,1250,92,95,13.5,28,12940,82
Gannon University,Yes,0.774350649,0,2693,691,10970,4280,500,1380,47,51,13.3,18,7711,65
Gardner Webb University,Yes,0.837837838,0,1603,374,8180,4270,500,500,65,58,15.2,12,5664,29
Geneva College,Yes,0.799401198,0,1306,258,9476,4820,500,1100,67,67,20.1,26,6786,74
George Fox College,Yes,0.897404203,0,1271,43,12500,4130,400,1050,53,53,13.5,22,7136,52
George Mason University,No,0.765257385,0,9528,3822,10800,4840,580,1050,93,96,19.3,7,6751,46
George Washington University,Yes,0.642793651,0,5471,1470,17450,6328,700,950,92,93,7.6,15,14745,72
Georgetown College,Yes,0.953232462,0,1063,48,8100,3950,550,550,73,76,13.3,28,7508,55
Georgetown University,Yes,0.25919928,1,5881,406,18300,7131,670,1700,91,92,7.2,27,19635,95
Georgia Institute of Technology,No,0.577644507,1,8528,654,6489,4438,795,1164,92,92,19.3,33,11271,70
Georgia State University,No,0.61718956,0,7732,9054,6744,2655,720,3450,87,89,19,10,7762,34
Georgian Court College,Yes,0.807471264,0,1095,785,9150,3950,500,800,56,59,12.2,27,7348,76
Gettysburg College,Yes,0.685761958,0,1944,46,19964,4328,500,500,94,95,12.1,32,14720,83
Goldey Beacom College,Yes,0.739336493,0,823,963,6120,2985,531,1830,25,25,27.6,4,6081,36
Gonzaga University,Yes,0.808059385,0,2523,296,13000,4450,600,2400,78,90,14.7,32,9553,69
Gordon College,Yes,0.838278932,0,1151,39,12200,4070,400,1200,73,82,14.2,32,9226,66
Goshen College,Yes,0.9,0,910,166,9420,3730,600,1230,51,56,9.9,46,10270,72
Goucher College,Yes,0.706342311,0,850,80,15588,6174,500,1200,78,90,9.2,34,16623,77
Grace College and Seminary,Yes,0.781021898,0,618,113,8958,3670,300,1000,53,59,15.3,26,9798,64
Graceland College,Yes,0.745945946,0,996,2281,9100,3100,550,880,51,61,23.6,24,5609,47
Grand Valley State University,No,0.752565344,0,8234,2619,6108,3800,500,1000,64,66,20.6,9,5063,57
Green Mountain College,Yes,0.805128205,0,545,42,11750,2700,400,850,77,83,14,24,6475,76
Greensboro College,Yes,0.8125,0,649,314,8330,3770,550,1300,64,80,13,31,7949,39
Greenville College,Yes,0.758823529,0,771,53,10310,4530,400,800,57,61,14.3,16,8222,60
Grinnell College,Yes,0.681216282,1,1333,30,15688,4618,400,400,88,92,9.5,54,18979,83
Grove City College,Yes,0.445604175,1,2213,35,5224,3048,525,350,65,65,18.4,18,4957,100
Guilford College,Yes,0.87687188,0,1410,299,13404,5160,450,1050,78,86,15.6,30,9114,65
Gustavus Adolphus College,Yes,0.810415448,0,2281,50,14125,3600,400,700,79,89,12.5,58,9907,80
Gwynedd Mercy College,Yes,0.623684211,0,716,1108,11000,5550,500,500,36,41,7.8,22,7483,96
Hamilton College,Yes,0.567834395,0,1646,24,19700,5050,300,800,91,96,9.6,60,17761,91
Hamline University,Yes,0.820079523,0,1362,102,13252,4194,450,550,89,93,13,33,10296,65
Hampden - Sydney College,Yes,0.788249694,0,945,1,13218,4773,660,600,95,97,13.3,53,12263,69
Hampton University,Yes,0.523126219,0,4623,740,7161,3518,600,2000,60,64,14,9,6791,70
Hanover College,Yes,0.832007952,0,1024,15,8200,3485,500,1200,84,84,10.6,26,9248,64
Hardin-Simmons University,Yes,0.907922912,0,1365,334,6300,2980,700,2140,75,79,13.7,10,7054,38
Harding University,Yes,0.620569436,0,3128,213,5504,3528,700,910,71,77,17.7,37,6466,73
Hartwick College,Yes,0.828132501,0,1464,67,17480,4780,500,700,75,87,12.3,32,11625,73
Harvard University,Yes,0.156148576,1,6862,320,18485,6410,500,1920,97,97,9.9,52,37219,100
Harvey Mudd College,Yes,0.415395788,1,654,5,17230,6690,700,900,100,100,8.2,46,21569,100
Hastings College,Yes,0.866585067,0,935,37,9376,3272,500,1902,57,63,13,17,7335,52
Hendrix College,Yes,0.876063183,1,954,6,8800,3195,500,1200,82,99,13.1,26,8588,63
Hillsdale College,Yes,0.809782609,0,1133,42,11090,4700,400,750,80,80,12,31,12639,79
Hiram College,Yes,0.790672451,0,1000,275,14067,4560,400,1000,75,95,10.6,34,12165,79
Hobart and William Smith Colleges,Yes,0.774181548,0,1792,5,19029,5841,600,600,99,99,12.1,37,13040,79
Hofstra University,Yes,0.788906839,0,6534,1350,11600,5920,1000,1000,81,90,13.9,10,10093,60
Hollins College,Yes,0.827242525,0,795,74,13470,5515,500,850,78,91,11.1,48,13957,72
Hood College,Yes,0.808297568,0,710,399,13960,6040,450,690,82,88,14.4,34,12434,72
Hope College,Yes,0.866238318,0,2505,208,12275,4341,465,1100,72,81,12.5,40,9284,72
Houghton College,Yes,0.828240253,0,1210,26,9990,3550,500,1500,85,90,15,24,8187,67
Huntingdon College,Yes,0.855263158,0,538,126,8080,3920,500,1100,63,72,11.4,9,7703,44
